experiment	score	avgIou	countMatch	falsePosAvg	missedAvg	status	description
0	36.2	47.1%	16%	0.6	0.6	baseline	original parameters
1	37.0	46.2%	20%	0.6	0.7	keep	rowThreshold: 0.06 -> 0.08
2	36.8	46.7%	18%	0.6	0.7	discard	rowThreshold: 0.06 -> 0.07
3	36.2	47.1%	16%	0.6	0.6	discard	headerMaxY: 0.12 -> 0.08
4	36.2	47.1%	16%	0.6	0.6	discard	headerMaxH: 0.1 -> 0.08
5	36.2	47.1%	16%	0.6	0.6	discard	headerMaxY: 0.12 -> 0.15
6	33.7	40.5%	16%	0.5	0.7	discard	mergeGap: 0.02 -> 0.04
7	35.4	45.5%	16%	0.6	0.6	discard	padding: 0.01 -> 0.02
8	36.2	47.1%	16%	0.6	0.6	discard	minBandHeight: 0.035 -> 0.04
9	36.3	47.0%	16%	0.6	0.6	discard	mergeGap: 0.02 -> 0.015
10	33.8	41.4%	17%	0.5	0.7	discard	mergeGap: 0.02 -> 0.03
11	37.4	47.7%	18%	0.6	0.6	keep	colThreshold: 0.05 -> 0.06
12	36.2	47.1%	16%	0.6	0.6	discard	headerMaxY: 0.12 -> 0.1
13	42.4	50.2%	26%	0.5	0.6	keep	minBandHeight: 0.035 -> 0.025
14	42.9	55.0%	21%	0.7	0.4	keep	minCropHeight: 0.12 -> 0.08
15	35.4	45.4%	16%	0.6	0.6	discard	padding: 0.01 -> 0.005
16	50.3	56.8%	33%	0.3	0.6	keep	sideBySideGap: 0.05 -> 0.1
17	40.6	49.6%	24%	0.6	0.6	discard	minColorRange: 20 -> 18
18	38.1	48.5%	21%	0.6	0.6	discard	minCropWidth: 0.08 -> 0.05
19	36.2	47.0%	16%	0.6	0.6	discard	brightnessMin: 45 -> 40
20	42.5	51.1%	29%	0.6	0.6	discard	colThreshold: 0.05 -> 0.1
21	34.8	43.9%	17%	0.6	0.7	discard	mergeGap: 0.02 -> 0.025
22	39.2	48.8%	20%	0.6	0.6	discard	rowThreshold: 0.06 -> 0.05
23	39.8	48.9%	23%	0.6	0.6	discard	colThreshold: 0.05 -> 0.03
24	35.5	45.9%	16%	0.6	0.7	discard	brightnessMax: 215 -> 210
25	36.3	46.8%	18%	0.7	0.6	discard	brightnessMin: 45 -> 55